isbn,title,authors,overview
9781883011017,"John Steinbeck : Novels And Stories, 1932-1937 : The Pastures Of Heaven / To A God Unknown / Tortilla Flat / In Dubious Battle / Of Mice And Men (library Of America)",['John Steinbeck'],"""Deep down it's mine, right to the center of the world,"" says a Salinas Valley farmer about his land in John Steinbeck's To a God Unknown, and Steinbeck the writer could have said the same. From the very start of his career he evoked the landscapes and people of central California with lyrical intensity and unflinching frankness. Through his intimate rendering of that place and those people, he expressed his abiding concerns: community, social justice, and the elemental connection between nature and human society. Here for the first time in one volume are Steinbeck's early California writings. In prose that blends the vernacular and the incantatory, the local and the mythic, these five works chart Steinbeck's evolution into one of the greatest and most enduringly popular of American novelists. The Pastures of Heaven (1932), a collection of interrelated stories, delineates the troubled inner lives and sometimes disastrous fates of families living in a seemingly tranquil California valley. The surface realism of Steinbeck's first mature work is enriched by hints of uncanny forces at work beneath. A sense of primeval magic dominates To a God Unknown (1933), as a California farmer reverts to pagan nature worship and begins a tortuous journey toward catastrophe and ultimate understanding. Steinbeck's sympathetic depiction of the raffish paisanos of Tortilla Flat (1935), a ramshackle district above Monterey, first won him popular attention. The Flat's tenderhearted, resourceful, mildly corrupt, ever-optimistic characters are a triumph of life-affirming humor. In Dubious Battle (1936) plunges into the political struggle of the 1930s, painting a vigorous fresco of a migrant fruit-picker's strike. Anticipating the collective portraiture of The Grapes of Wrath, Steinbeck poignantly traces the surges and shifts of group behavior. With Of Mice and Men (1937), Steinbeck secured his status as one of the most influential American writers. Lenny and George, itinerant farmhands

                        <p>Here for the first time in one volume are John Steinbeck's early California writings, including Tortilla Flat, his first popular success, and the extraordinarily powerful Of Mice and Men. Featuring many other great works written by Steinbeck from 1932-37, this volume is the first in a projected multi-volume set.
</p>"
9781891620980,Great White Fathers: The Story Of The Obsessive Quest To Create Mount Rushmore,"['John Taliaferro', 'Taliaferro']","""In Great White Fathers, author John Taliaferro chronicles the heroic struggle to shape the four faces of Rushmore, and then he shows us the warts, too. He reveals the astonishing backstory of America's ""Shrine to Democracy"" - how the Black Hills were snatched from the Lakota Sioux; the grueling and perilous task of carving mammoth faces with dynamite and jackhammers while swinging from a five-hundred-foot cliff; the impact of auto tourism and crass commercialism on the land and lifestyles of the Great Plains."" ""Like so many episodes in the saga of the American West, what began as a personal dream had to be bailed out by the federal government, a compromise that nearly drove Gutzon Borglum over the brink. Nor in the end could Borglum control how his masterpiece would be received by future generations."" Great White Fathers is at once the biography of a man and the biography of a place, told through travelogue, interviews, and investigation of the vast records left behind by one of America's most eccentric, and emblematic, visionaries. It proves that the best American stories are not simple; they are complex and contradictory, at times humorous, at other times tragic."
9781885444264,Degas And The Dance,"['Jill Devonyar', 'Richard Kendall']","""Known in his lifetime as ""the painter of dancers,"" Edgar Degas has long been recognized as the foremost artist of the ballet. More than half of his vast body of work - created over five decades and in all media at his command - is devoted to the activities of dancers, both on and off the stage."" ""Surprisingly, there has never been a comprehensive study of Degas' ballet work in its historical context. Now, in Degas and the Dance, Richard Kendall and Jill DeVoynar place the artist and his work against the backdrop of the Paris Opera, home of the national ballet company. Degas has always been thought of as somewhat detached from the day-to-day life of the dancers he depicted. Kendall and DeVoynar's new research, especially in the Opera archives, reveals that the artist was far more informed about the ballet than has previously been imagined. To an extraordinary extent, Degas' artistic ambitions developed under the roof of the Opera, and his achievements as an artist cannot be wholly grapsed without reference to it."" Degas and the Dance illuminates the world of nineteenth-century ballet and the life of a great artist who was obsessed by his subject. Admirers of dance and of art will be fascinated by this interdisciplinary study. The text and illustrations range across a variety of fascinating topics, including Degas' predecessors and contemporaries, the ballerinas he knew, the nature of classroom training, and the ballet repertoire in his day."
9781884836879,Holden Arboretum (series On Ohio History And Culture),['Steve Love'],"""The Holden Arboretum is a living museum of forests and woodlands, meadows and display gardens, mountains and ravines, rock ledges and lakes, rivers and streams, wetlands and bogs, with an abundance of wildlife. It is a place of year-round beauty with tremendous scientific and ecological importance."" The Holden Arboretum was established on 100 acres in 1931 by people of vision and great generosity who understood the importance of protecting precious green spaces for future generations. Today, Holden spans 3,400 acres and is nationally know for its plant collections, education programs, research efforts, and its commitment to conservation."
9781883124199,Childe Hassam: Impressionist In The West,['Margaret E. Bullock'],"""The renowned American impressionist Childe Hassam built his reputation on light-filled images depicting the streets of New York and New England's coastal resorts. During his sojourns in the West, he painted at least sixty images ranging from portraits and still lifes to landscapes and seascapes in oil, watercolor, and pastel."" Childe Hassam: Impressionist in the West explores this significant, but little known, body of work in the context of the artist's entire oeuvre and larger developments in modern art at the turn of the century. This richly illustrated catalogue investigates how Hassam's images of the West mirror a number of his personal and professional concerns; provides insights into technical aspects of his work, which he tended to adapt to the subject and circumstances at hand; and looks at how the West appealed to the artist's broader interests and concerns, such as his desire to create an art that was purely American in both content and style."
9781885767547,Trial And Triumph: Stories From Church History,['Richard M. Hannula'],"""Thus says the LORD: <i>Stand in the ways and see, and ask for the old paths, where the good way is, and walk in it; then you will find rest for your souls</i>"" (Jer. 6:16). Christianity is a faith in love with history. God took on human flesh and dwelt among us. The Spirit carried that divine work over the centuries, providing courage and maturity even amid our imperfections.
<p>Christians find their true family line not through tribes and ethnic blood but in the bond of faithfulness and shed blood that has united our family for millennia. We too often view Church history as the story of obscure aliens instead of the lives of brothers and sisters, mothers and fathers.</p>
<p>In this collection of forty-six brief biographies for children, Hannula sketches the stirring trials and triumphs of many famous and some lesser known figures in our family of faith—including Augustine, Charlemagne, Anselm, Luther, Bunyan, and C.S. Lewis. Through them we can begin to enjoy the old paths and find rest for our souls.</p>"
9781885767554,Heroes Of The City Of Man: A Christian Guide To Select Ancient Literature,['Peter J. Leithart'],"""What has Athens to do with Jerusalem?"" For roughly two thousand years, Christians have greatly differed in their answers to Tertullian's pivotal question. Some would have us believe that the ancient Greeks and Romans are responsible for the entire shape and substance of Western culture. Others would prefer to jettison them altogether. Here, Peter Leithart suggests a careful and balanced approach as he analyzes some of the grand classics of ancient literature, including the <i>Iliad</i>, the <i>Odyssey</i>, the <i>Aeneid</i>, and four prominent Greek dramas. Demonstrating what it means to ""plunder the Egyptians,"" <i>Heroes of the City of Man</i> instructs the reader how we can use the advances of the City of Man to build the City of God."
9781891620515,Royko: A Life In Print,"['Ciccone, F. Richard.']","""When Royko began his career in journalism in the 1950s, newspapers were the sole providers of information, uniquely individual, thriving or failing on their abilities to report faster, write better, and laugh louder than their competitors. Journalism was a tough profession. Police reporters were on the take from mobsters and editors paid more attention to advertisers than to readers. Reporters carried phony police badges and hid pints of bad whiskey in their bottom drawers. They smoked. They drank. And Royko out-wrote the best of them. He insulted and taunted the most vicious killers in Chicago and the most powerful big city boss of the century. He exposed graft and greed. He damned hypocrisy and he defended the little man."" ""Mike Royko was also haunted by conflict. A difficult man, he would intimidate his assistants every morning and retire to the Billy Goat Tavern every night. He was arrogant and kind. He was incomparably witty and suddenly morose. He was vain and insecure. He played hard and he wrote harder and longer than any other newspaperman."" ""Royko: A Life in Print not only tells the story of one of America's greatest newspapermen, but also explores the dramatic developments in journalism and in American society over the course of the twentieth century.""--BOOK JACKET."
9781887896825,Frank Lloyd Wright In Arizona,['Lawrence W. Cheek'],"""Wright fell in love with the desert quickly and profoundly,"" writes Lawrence W. Cheek. ""It was a vast, blank canvas ... it was an open-air warehouse of natural forms, colors, and textures that both delighted and inspired him.""<br>
<br>
Frank Lloyd Wright first came to Arizona in 1928. In this spectacular desert landscape he built his winter headquarters, Taliesin West, and found a passion that drove him for the next 31 years of his life. In the first book to focus solely on Wright's work in Arizona, Lawrence W. Cheek explores the twelve breathtaking buildings that Wright contributed to the state. Cheek also delves into the audacious, mischievous, egocentric, and often outrageous life of Frank Lloyd Wright and examines today's Taliesin West, still a center of vigilant devotion to the man often called the greatest architect of the twentieth century."
9781888889451,"Small, Misty Mountain: The Awanadjo Almanack",['Rob Mccall'],"<b>A collection of natural and unnatural events devoted to breaking down the wall of hostility between us and Creation.</b><br>
<br>
Certain places make us more vulnerable to the Holy. This is a real phenomenon, not some romantic notion—a spiritual resource as full and as valuable as any other ""natural resource."" Approached with devotion, these places have the power to heal and to reveal.<br>
<br>
""Awanadjo"" is Algonkian for ""small, misty mountain,"" referring to Blue Hill Mountain in Blue Hill, Maine; but it can just as well describe your mountain or any sacred place that has the power to transform and impart the sense of being at home in Nature.<br>
<br>
Following in the long tradition of natural theology from Lao-tse to St. Francis, John Scotus Erigena, Newton, Darwin, Thoreau, Rachel Carson, Wendell Berry, and Annie Dillard, this volume gathers decades of Rob McCall's meticulous observation and buoyant commentary about a mountain and its surroundings. Woodcut illustrations."
